Rank1,Rank2,Rank3,Rank4,Alg,Prob,Q,PC
8,6,10,4,PSO,F20,1,3
10,8,6,1,PSO,F20,2,1
8,10,6,1,PSO,F20,2,2
8,6,10,4,PSO,F20,2,3
10,8,6,1,PSO,F20,3,1
8,10,6,1,PSO,F20,3,2
8,6,10,4,PSO,F20,3,3
10,3,5,7,PSO,F20,4,1
3,7,8,5,PSO,F20,4,2
3,9,8,4,PSO,F20,4,3
2,5,8,4,CMAES,F21,1,1
7,1,9,3,CMAES,F21,1,2
6,9,7,3,CMAES,F21,1,3
8,2,5,4,CMAES,F21,2,1
7,3,1,9,CMAES,F21,2,2
6,7,9,3,CMAES,F21,2,3
4,8,5,10,CMAES,F21,3,1
7,3,1,6,CMAES,F21,3,2
6,3,1,7,CMAES,F21,3,3
2,5,8,4,CMAES,F21,4,1
7,3,1,6,CMAES,F21,4,2
6,7,3,1,CMAES,F21,4,3
2,4,8,5,DE,F21,1,1
4,2,5,8,DE,F21,1,2
4,5,2,8,DE,F21,1,3
2,8,4,3,DE,F21,2,1
2,5,4,8,DE,F21,2,2
5,4,2,10,DE,F21,2,3
2,8,3,4,DE,F21,3,1
2,5,8,4,DE,F21,3,2
5,3,10,2,DE,F21,3,3
8,2,3,10,DE,F21,4,1
10,2,5,8,DE,F21,4,2
10,9,1,3,DE,F21,4,3
2,5,8,4,GA,F21,1,1
8,5,2,4,GA,F21,1,2
2,4,10,5,GA,F21,1,3
2,5,8,4,GA,F21,2,1
8,5,2,3,GA,F21,2,2
10,7,3,2,GA,F21,2,3
2,4,5,8,GA,F21,3,1
9,8,1,3,GA,F21,3,2
9,10,1,3,GA,F21,3,3
4,6,10,9,GA,F21,4,1
9,10,1,6,GA,F21,4,2
1,9,10,6,GA,F21,4,3
8,2,4,5,PSO,F21,1,1
8,5,4,3,PSO,F21,1,2
5,8,9,6,PSO,F21,1,3
8,2,4,5,PSO,F21,2,1
3,8,7,5,PSO,F21,2,2
9,5,1,8,PSO,F21,2,3
8,2,4,5,PSO,F21,3,1
7,1,6,3,PSO,F21,3,2
9,6,10,1,PSO,F21,3,3
2,4,8,10,PSO,F21,4,1
7,10,1,9,PSO,F21,4,2
9,10,1,3,PSO,F21,4,3
3,5,4,8,CMAES,F22,1,1
10,7,9,5,CMAES,F22,1,2
1,8,4,9,CMAES,F22,1,3
3,4,9,6,CMAES,F22,2,1
9,7,10,4,CMAES,F22,2,2
9,1,4,2,CMAES,F22,2,3
3,2,6,4,CMAES,F22,3,1
10,7,2,9,CMAES,F22,3,2
2,9,7,1,CMAES,F22,3,3
3,2,6,5,CMAES,F22,4,1
10,7,2,1,CMAES,F22,4,2
2,7,1,9,CMAES,F22,4,3
3,1,5,2,DE,F22,1,1
5,1,6,7,DE,F22,1,2
7,5,9,1,DE,F22,1,3
3,2,6,9,DE,F22,2,1
1,5,10,6,DE,F22,2,2
7,4,9,5,DE,F22,2,3
3,2,9,6,DE,F22,3,1
10,1,7,5,DE,F22,3,2
4,7,10,9,DE,F22,3,3
3,2,9,6,DE,F22,4,1
10,5,1,4,DE,F22,4,2
4,7,10,9,DE,F22,4,3
3,9,5,6,GA,F22,1,1
5,3,9,6,GA,F22,1,2
9,8,5,6,GA,F22,1,3
3,9,5,6,GA,F22,2,1
5,7,8,10,GA,F22,2,2
8,10,9,7,GA,F22,2,3
3,6,2,1,GA,F22,3,1
4,7,10,1,GA,F22,3,2
4,10,7,8,GA,F22,3,3
6,2,1,3,GA,F22,4,1
4,7,1,10,GA,F22,4,2
7,4,8,1,GA,F22,4,3
3,9,5,6,PSO,F22,1,1
5,3,10,6,PSO,F22,1,2
4,7,10,2,PSO,F22,1,3
3,9,5,6,PSO,F22,2,1
3,5,4,7,PSO,F22,2,2
4,7,10,1,PSO,F22,2,3
3,9,6,5,PSO,F22,3,1
4,7,8,10,PSO,F22,3,2
4,7,8,1,PSO,F22,3,3
9,3,6,2,PSO,F22,4,1
4,7,2,6,PSO,F22,4,2
7,4,1,8,PSO,F22,4,3
5,1,7,10,CMAES,F23,1,1
1,4,9,7,CMAES,F23,1,2
2,5,7,4,CMAES,F23,1,3
7,1,5,8,CMAES,F23,2,1
9,1,7,10,CMAES,F23,2,2
8,9,6,7,CMAES,F23,2,3
1,10,8,7,CMAES,F23,3,1
9,1,7,4,CMAES,F23,3,2
9,6,7,2,CMAES,F23,3,3
7,2,1,8,CMAES,F23,4,1
1,4,7,9,CMAES,F23,4,2
7,2,6,5,CMAES,F23,4,3
6,2,7,5,DE,F23,1,1
2,10,8,6,DE,F23,1,2
10,6,1,2,DE,F23,1,3
7,6,2,1,DE,F23,2,1
2,8,10,4,DE,F23,2,2
1,8,10,3,DE,F23,2,3
6,7,1,8,DE,F23,3,1
4,8,2,1,DE,F23,3,2
1,10,6,4,DE,F23,3,3
7,9,2,6,DE,F23,4,1
7,10,2,8,DE,F23,4,2
1,10,6,8,DE,F23,4,3
9,8,7,10,GA,F23,1,1
10,5,9,4,GA,F23,1,2
2,5,9,3,GA,F23,1,3
9,7,8,5,GA,F23,2,1
1,4,5,10,GA,F23,2,2
2,3,7,5,GA,F23,2,3
9,7,5,8,GA,F23,3,1
1,6,10,4,GA,F23,3,2
2,3,1,7,GA,F23,3,3
9,6,5,7,GA,F23,4,1
1,6,10,5,GA,F23,4,2
2,3,7,9,GA,F23,4,3
6,5,9,3,PSO,F23,1,1
10,5,4,1,PSO,F23,1,2
4,7,10,2,PSO,F23,1,3
6,9,3,5,PSO,F23,2,1
10,1,4,5,PSO,F23,2,2
7,2,10,4,PSO,F23,2,3
6,9,3,7,PSO,F23,3,1
10,4,1,5,PSO,F23,3,2
7,4,2,3,PSO,F23,3,3
6,9,7,5,PSO,F23,4,1
4,1,10,5,PSO,F23,4,2
4,7,3,2,PSO,F23,4,3
4,2,9,5,CMAES,F24,1,1
8,3,10,1,CMAES,F24,1,2
10,8,6,1,CMAES,F24,1,3
9,2,5,4,CMAES,F24,2,1
8,1,3,7,CMAES,F24,2,2
6,7,3,8,CMAES,F24,2,3
2,9,4,5,CMAES,F24,3,1
1,7,3,8,CMAES,F24,3,2
10,3,1,7,CMAES,F24,3,3
2,4,9,5,CMAES,F24,4,1
8,1,10,7,CMAES,F24,4,2
8,10,1,6,CMAES,F24,4,3
6,4,1,7,DE,F24,1,1
1,3,2,5,DE,F24,1,2
6,8,3,10,DE,F24,1,3
4,6,8,1,DE,F24,2,1
1,2,8,9,DE,F24,2,2
8,6,9,10,DE,F24,2,3
4,9,6,2,DE,F24,3,1
1,2,8,7,DE,F24,3,2
8,10,6,9,DE,F24,3,3
4,1,6,7,DE,F24,4,1
1,2,8,3,DE,F24,4,2
8,10,3,6,DE,F24,4,3
9,1,4,6,GA,F24,1,1
7,3,4,1,GA,F24,1,2
9,6,2,4,GA,F24,1,3
1,10,6,4,GA,F24,2,1
7,1,3,4,GA,F24,2,2
10,2,8,6,GA,F24,2,3
8,3,5,6,GA,F24,3,1
7,5,1,4,GA,F24,3,2
7,8,6,9,GA,F24,3,3
8,10,5,3,GA,F24,4,1
5,4,7,10,GA,F24,4,2
9,10,6,8,GA,F24,4,3
9,4,5,2,PSO,F24,1,1
9,2,4,5,PSO,F24,1,2
9,2,4,5,PSO,F24,1,3
9,4,5,2,PSO,F24,2,1
9,4,2,8,PSO,F24,2,2
9,4,5,2,PSO,F24,2,3
9,4,2,5,PSO,F24,3,1
9,4,2,10,PSO,F24,3,2
9,8,1,5,PSO,F24,3,3
4,1,2,9,PSO,F24,4,1
1,9,4,6,PSO,F24,4,2
6,1,9,3,PSO,F24,4,3
8,4,5,3,CMAES,F2,1,1
8,9,10,7,CMAES,F2,1,2
7,9,8,6,CMAES,F2,1,3
4,5,8,3,CMAES,F2,2,1
8,9,7,2,CMAES,F2,2,2
7,6,5,8,CMAES,F2,2,3
4,5,3,2,CMAES,F2,3,1
8,2,3,7,CMAES,F2,3,2
6,7,5,2,CMAES,F2,3,3
4,3,5,2,CMAES,F2,4,1
2,3,1,4,CMAES,F2,4,2
1,2,5,6,CMAES,F2,4,3
8,4,3,5,DE,F2,1,1
8,6,5,10,DE,F2,1,2
8,10,6,5,DE,F2,1,3
8,4,3,5,DE,F2,2,1
8,6,5,4,DE,F2,2,2
8,6,5,9,DE,F2,2,3
8,4,3,5,DE,F2,3,1
8,6,5,4,DE,F2,3,2
8,6,5,4,DE,F2,3,3
4,3,2,5,DE,F2,4,1
6,3,5,4,DE,F2,4,2
5,4,6,7,DE,F2,4,3
8,4,3,5,GA,F2,1,1
8,5,6,2,GA,F2,1,2
8,9,6,7,GA,F2,1,3
8,4,3,5,GA,F2,2,1
8,5,6,2,GA,F2,2,2
8,9,6,7,GA,F2,2,3
4,3,8,5,GA,F2,3,1
8,6,5,2,GA,F2,3,2
8,7,6,9,GA,F2,3,3
4,3,5,2,GA,F2,4,1
5,6,1,2,GA,F2,4,2
7,6,5,4,GA,F2,4,3
4,8,3,5,PSO,F2,1,1
8,10,9,5,PSO,F2,1,2
8,7,9,10,PSO,F2,1,3
4,8,3,5,PSO,F2,2,1
8,10,9,5,PSO,F2,2,2
8,7,9,10,PSO,F2,2,3
4,3,8,5,PSO,F2,3,1
8,5,9,7,PSO,F2,3,2
7,8,9,6,PSO,F2,3,3
4,3,5,2,PSO,F2,4,1
6,5,1,2,PSO,F2,4,2
7,6,5,1,PSO,F2,4,3
3,4,8,2,CMAES,F3,1,1
1,5,2,9,CMAES,F3,1,2
7,6,9,1,CMAES,F3,1,3
3,4,8,2,CMAES,F3,2,1
1,9,7,5,CMAES,F3,2,2
1,9,6,7,CMAES,F3,2,3
4,2,3,8,CMAES,F3,3,1
1,5,7,2,CMAES,F3,3,2
1,7,6,9,CMAES,F3,3,3
3,4,8,2,CMAES,F3,4,1
1,2,7,9,CMAES,F3,4,2
6,7,1,9,CMAES,F3,4,3
8,3,4,2,DE,F3,1,1
4,8,3,5,DE,F3,1,2
8,3,4,5,DE,F3,1,3
3,8,4,2,DE,F3,2,1
4,3,8,2,DE,F3,2,2
8,3,4,5,DE,F3,2,3
3,4,8,2,DE,F3,3,1
4,3,2,9,DE,F3,3,2
3,9,2,4,DE,F3,3,3
3,4,8,2,DE,F3,4,1
1,5,4,2,DE,F3,4,2
1,9,5,7,DE,F3,4,3
3,8,4,2,GA,F3,1,1
8,4,3,2,GA,F3,1,2
8,3,4,2,GA,F3,1,3
3,4,8,2,GA,F3,2,1
4,8,3,2,GA,F3,2,2
2,3,9,8,GA,F3,2,3
3,2,4,8,GA,F3,3,1
1,2,5,9,GA,F3,3,2
1,7,9,2,GA,F3,3,3
2,3,4,8,GA,F3,4,1
1,5,7,2,GA,F3,4,2
1,7,9,2,GA,F3,4,3
3,4,8,5,PSO,F3,1,1
8,3,4,5,PSO,F3,1,2
8,4,9,5,PSO,F3,1,3
3,4,8,5,PSO,F3,2,1
8,3,4,5,PSO,F3,2,2
9,7,8,4,PSO,F3,2,3
3,4,2,5,PSO,F3,3,1
1,6,7,5,PSO,F3,3,2
7,9,6,1,PSO,F3,3,3
3,4,2,5,PSO,F3,4,1
1,7,2,5,PSO,F3,4,2
7,9,2,10,PSO,F3,4,3
3,8,4,5,CMAES,F4,1,1
5,3,1,9,CMAES,F4,1,2
6,10,3,5,CMAES,F4,1,3
3,4,8,5,CMAES,F4,2,1
5,3,1,9,CMAES,F4,2,2
6,10,3,5,CMAES,F4,2,3
3,4,8,2,CMAES,F4,3,1
5,1,3,4,CMAES,F4,3,2
6,10,3,1,CMAES,F4,3,3
4,8,2,3,CMAES,F4,4,1
7,1,9,5,CMAES,F4,4,2
6,10,2,1,CMAES,F4,4,3
3,8,4,2,DE,F4,1,1
3,5,8,1,DE,F4,1,2
3,5,10,2,DE,F4,1,3
3,8,4,2,DE,F4,2,1
3,5,8,1,DE,F4,2,2
3,5,10,2,DE,F4,2,3
3,8,4,2,DE,F4,3,1
3,5,8,9,DE,F4,3,2
3,10,2,8,DE,F4,3,3
4,8,7,9,DE,F4,4,1
5,7,1,9,DE,F4,4,2
1,7,2,6,DE,F4,4,3
8,4,2,3,GA,F4,1,1
3,8,4,5,GA,F4,1,2
3,10,4,6,GA,F4,1,3
8,4,2,3,GA,F4,2,1
3,8,4,5,GA,F4,2,2
3,10,4,6,GA,F4,2,3
8,4,2,9,GA,F4,3,1
3,8,4,2,GA,F4,3,2
10,4,6,8,GA,F4,3,3
9,7,2,4,GA,F4,4,1
5,1,3,8,GA,F4,4,2
10,6,1,7,GA,F4,4,3
3,8,4,2,PSO,F4,1,1
3,5,8,4,PSO,F4,1,2
3,10,5,4,PSO,F4,1,3
3,8,4,2,PSO,F4,2,1
3,5,8,4,PSO,F4,2,2
3,10,5,4,PSO,F4,2,3
3,8,4,2,PSO,F4,3,1
3,5,8,4,PSO,F4,3,2
10,3,1,4,PSO,F4,3,3
4,8,2,6,PSO,F4,4,1
5,7,9,6,PSO,F4,4,2
6,1,7,10,PSO,F4,4,3
10,8,6,9,CMAES,F5,1,1
9,1,10,3,CMAES,F5,1,2
5,4,3,7,CMAES,F5,1,3
6,8,2,5,CMAES,F5,2,1
1,9,3,10,CMAES,F5,2,2
5,3,4,1,CMAES,F5,2,3
2,1,3,4,CMAES,F5,3,1
1,3,9,2,CMAES,F5,3,2
3,5,4,1,CMAES,F5,3,3
1,2,3,4,CMAES,F5,4,1
1,3,2,4,CMAES,F5,4,2
1,3,4,5,CMAES,F5,4,3
9,8,10,7,DE,F5,1,1
10,9,8,7,DE,F5,1,2
10,9,8,5,DE,F5,1,3
5,6,4,7,DE,F5,2,1
2,1,3,9,DE,F5,2,2
5,6,8,4,DE,F5,2,3
2,3,1,4,DE,F5,3,1
2,1,3,4,DE,F5,3,2
3,1,2,5,DE,F5,3,3
1,2,3,4,DE,F5,4,1
1,2,3,4,DE,F5,4,2
1,2,3,4,DE,F5,4,3
7,8,5,6,GA,F5,1,1
9,10,1,8,GA,F5,1,2
8,6,7,2,GA,F5,1,3
5,4,3,6,GA,F5,2,1
1,2,4,3,GA,F5,2,2
2,6,5,3,GA,F5,2,3
2,1,3,4,GA,F5,3,1
1,2,3,4,GA,F5,3,2
2,1,3,5,GA,F5,3,3
1,2,3,4,GA,F5,4,1
1,2,3,4,GA,F5,4,2
2,1,3,4,GA,F5,4,3
8,6,10,7,PSO,F5,1,1
10,9,2,7,PSO,F5,1,2
9,10,7,8,PSO,F5,1,3
6,8,5,4,PSO,F5,2,1
2,1,3,4,PSO,F5,2,2
9,10,7,4,PSO,F5,2,3
4,2,3,1,PSO,F5,3,1
2,1,3,4,PSO,F5,3,2
4,1,3,6,PSO,F5,3,3
2,1,3,4,PSO,F5,4,1
1,2,3,4,PSO,F5,4,2
1,2,3,4,PSO,F5,4,3
4,8,5,2,CMAES,F6,1,1
3,5,2,4,CMAES,F6,1,2
3,1,2,6,CMAES,F6,1,3
4,8,5,2,CMAES,F6,2,1
3,5,2,4,CMAES,F6,2,2
3,1,2,6,CMAES,F6,2,3
4,8,5,2,CMAES,F6,3,1
3,2,5,4,CMAES,F6,3,2
1,3,2,6,CMAES,F6,3,3
4,10,8,9,CMAES,F6,4,1
5,4,3,2,CMAES,F6,4,2
7,6,1,8,CMAES,F6,4,3
4,8,3,2,DE,F6,1,1
3,2,5,6,DE,F6,1,2
3,2,6,5,DE,F6,1,3
4,8,2,3,DE,F6,2,1
3,2,5,6,DE,F6,2,2
3,2,6,5,DE,F6,2,3
4,8,10,2,DE,F6,3,1
3,2,5,6,DE,F6,3,2
3,6,2,5,DE,F6,3,3
4,8,10,9,DE,F6,4,1
2,5,3,6,DE,F6,4,2
6,3,7,1,DE,F6,4,3
4,8,10,2,GA,F6,1,1
3,2,5,6,GA,F6,1,2
3,2,5,1,GA,F6,1,3
4,8,10,2,GA,F6,2,1
3,2,5,6,GA,F6,2,2
3,2,5,1,GA,F6,2,3
4,8,10,2,GA,F6,3,1
3,2,5,6,GA,F6,3,2
3,2,5,1,GA,F6,3,3
4,10,8,9,GA,F6,4,1
2,3,5,6,GA,F6,4,2
1,7,5,3,GA,F6,4,3
4,8,5,3,PSO,F6,1,1
3,2,5,4,PSO,F6,1,2
3,1,7,5,PSO,F6,1,3
4,8,5,3,PSO,F6,2,1
3,2,5,4,PSO,F6,2,2
3,1,7,5,PSO,F6,2,3
4,8,5,10,PSO,F6,3,1
3,2,5,4,PSO,F6,3,2
3,1,7,6,PSO,F6,3,3
4,8,10,5,PSO,F6,4,1
3,2,5,4,PSO,F6,4,2
1,7,3,6,PSO,F6,4,3
3,4,8,2,CMAES,F7,1,1
3,4,8,5,CMAES,F7,1,2
3,4,8,5,CMAES,F7,1,3
3,4,8,5,CMAES,F7,2,1
3,4,8,7,CMAES,F7,2,2
3,4,7,5,CMAES,F7,2,3
7,4,5,3,CMAES,F7,3,1
9,6,7,4,CMAES,F7,3,2
7,1,10,9,CMAES,F7,3,3
5,6,2,8,CMAES,F7,4,1
6,9,10,5,CMAES,F7,4,2
10,1,9,5,CMAES,F7,4,3
8,3,4,2,DE,F7,1,1
8,4,3,10,DE,F7,1,2
3,4,8,5,DE,F7,1,3
8,3,4,2,DE,F7,2,1
8,4,3,7,DE,F7,2,2
3,4,8,5,DE,F7,2,3
7,2,8,4,DE,F7,3,1
7,8,4,10,DE,F7,3,2
4,3,7,8,DE,F7,3,3
6,2,9,5,DE,F7,4,1
10,7,5,6,DE,F7,4,2
4,1,9,6,DE,F7,4,3
3,4,8,7,GA,F7,1,1
3,4,5,8,GA,F7,1,2
3,4,8,5,GA,F7,1,3
3,4,8,7,GA,F7,2,1
3,4,5,8,GA,F7,2,2
3,4,5,8,GA,F7,2,3
7,4,3,5,GA,F7,3,1
4,3,7,5,GA,F7,3,2
3,5,10,7,GA,F7,3,3
7,2,6,4,GA,F7,4,1
5,9,1,6,GA,F7,4,2
1,10,2,9,GA,F7,4,3
4,3,8,2,PSO,F7,1,1
3,8,4,5,PSO,F7,1,2
3,8,4,9,PSO,F7,1,3
4,3,8,2,PSO,F7,2,1
3,8,4,5,PSO,F7,2,2
3,8,4,9,PSO,F7,2,3
4,3,8,7,PSO,F7,3,1
3,8,4,5,PSO,F7,3,2
3,8,4,9,PSO,F7,3,3
7,4,5,2,PSO,F7,4,1
6,5,10,9,PSO,F7,4,2
1,9,6,7,PSO,F7,4,3
3,4,5,8,CMAES,F8,1,1
3,4,8,5,CMAES,F8,1,2
2,3,4,8,CMAES,F8,1,3
4,3,5,8,CMAES,F8,2,1
3,8,4,10,CMAES,F8,2,2
2,1,8,3,CMAES,F8,2,3
1,5,10,6,CMAES,F8,3,1
10,1,8,3,CMAES,F8,3,2
2,1,10,9,CMAES,F8,3,3
1,4,3,5,CMAES,F8,4,1
3,1,10,4,CMAES,F8,4,2
2,1,10,3,CMAES,F8,4,3
4,3,5,8,DE,F8,1,1
4,3,5,9,DE,F8,1,2
3,8,4,2,DE,F8,1,3
4,3,5,2,DE,F8,2,1
4,3,5,9,DE,F8,2,2
3,8,4,2,DE,F8,2,3
3,4,5,1,DE,F8,3,1
3,4,9,10,DE,F8,3,2
2,8,3,7,DE,F8,3,3
10,1,3,4,DE,F8,4,1
10,9,1,8,DE,F8,4,2
10,1,2,8,DE,F8,4,3
3,4,8,5,GA,F8,1,1
3,4,8,5,GA,F8,1,2
8,3,2,4,GA,F8,1,3
4,3,8,5,GA,F8,2,1
3,8,4,10,GA,F8,2,2
8,3,2,7,GA,F8,2,3
4,3,8,5,GA,F8,3,1
8,4,3,6,GA,F8,3,2
8,7,2,6,GA,F8,3,3
4,10,5,1,GA,F8,4,1
10,8,6,4,GA,F8,4,2
7,10,2,8,GA,F8,4,3
3,4,5,9,PSO,F8,1,1
3,4,5,8,PSO,F8,1,2
7,3,4,9,PSO,F8,1,3
3,4,5,9,PSO,F8,2,1
3,4,5,8,PSO,F8,2,2
7,3,4,9,PSO,F8,2,3
3,4,5,9,PSO,F8,3,1
3,4,10,8,PSO,F8,3,2
7,6,9,2,PSO,F8,3,3
10,4,3,5,PSO,F8,4,1
10,1,2,8,PSO,F8,4,2
6,10,2,9,PSO,F8,4,3
2,9,7,6,CMAES,F9,1,1
4,2,8,9,CMAES,F9,1,2
8,4,7,2,CMAES,F9,1,3
2,9,5,1,CMAES,F9,2,1
4,2,8,5,CMAES,F9,2,2
8,4,7,2,CMAES,F9,2,3
2,5,3,1,CMAES,F9,3,1
4,8,2,5,CMAES,F9,3,2
8,4,5,2,CMAES,F9,3,3
3,5,2,9,CMAES,F9,4,1
5,2,4,10,CMAES,F9,4,2
8,5,4,3,CMAES,F9,4,3
6,1,10,9,DE,F9,1,1
7,5,6,3,DE,F9,1,2
7,5,6,1,DE,F9,1,3
6,9,4,8,DE,F9,2,1
7,5,6,3,DE,F9,2,2
7,5,6,2,DE,F9,2,3
9,8,4,6,DE,F9,3,1
7,5,3,6,DE,F9,3,2
7,5,6,2,DE,F9,3,3
9,4,6,8,DE,F9,4,1
5,7,6,3,DE,F9,4,2
5,7,6,2,DE,F9,4,3
10,3,9,6,GA,F9,1,1
6,5,1,3,GA,F9,1,2
6,5,7,1,GA,F9,1,3
9,3,10,4,GA,F9,2,1
6,3,5,7,GA,F9,2,2
6,5,7,1,GA,F9,2,3
9,3,4,10,GA,F9,3,1
6,5,3,1,GA,F9,3,2
5,6,1,7,GA,F9,3,3
9,4,3,10,GA,F9,4,1
7,6,1,5,GA,F9,4,2
7,6,1,5,GA,F9,4,3
3,10,9,1,PSO,F9,1,1
5,1,3,9,PSO,F9,1,2
1,5,6,3,PSO,F9,1,3
3,10,9,1,PSO,F9,2,1
5,1,3,9,PSO,F9,2,2
1,5,6,3,PSO,F9,2,3
3,10,9,1,PSO,F9,3,1
5,1,3,9,PSO,F9,3,2
1,5,6,3,PSO,F9,3,3
9,10,3,8,PSO,F9,4,1
1,5,3,9,PSO,F9,4,2
1,6,10,2,PSO,F9,4,3
